"","Generation","strategy","prob","freq_media","freq_sd","raio","divided"
"386",128,"O",0,0.634829,0.0583473564010393,"basico",FALSE
"387",128,"Y",0,0.168454,0.0674642657675569,"basico",FALSE
"388",129,"B",0,0.195465,0.0548862853377947,"basico",FALSE
"389",129,"O",0,0.636574,0.058557140564675,"basico",FALSE
"390",129,"Y",0,0.167961,0.0668721558745726,"basico",FALSE
"391",130,"B",0,0.194217,0.0547268332149538,"basico",FALSE
"392",130,"O",0,0.637725,0.0583434802863113,"basico",FALSE
"393",130,"Y",0,0.168058,0.0665885833330537,"basico",FALSE
"394",131,"B",0,0.193084,0.054089216834576,"basico",FALSE
"395",131,"O",0,0.639027,0.0586631435839532,"basico",FALSE
"396",131,"Y",0,0.167889,0.0662515361285604,"basico",FALSE
"397",132,"B",0,0.192129,0.0536379017490469,"basico",FALSE
"398",132,"O",0,0.63998,0.0584962383319637,"basico",FALSE
"399",132,"Y",0,0.167891,0.0658409394838896,"basico",FALSE
"400",133,"B",0,0.191005,0.0525630518443509,"basico",FALSE
"401",133,"O",0,0.641383,0.0586115030854814,"basico",FALSE
"402",133,"Y",0,0.167612,0.065226014640315,"basico",FALSE
"403",134,"B",0,0.189992,0.0519353107337397,"basico",FALSE
"404",134,"O",0,0.64236,0.0589345948034468,"basico",FALSE
"405",134,"Y",0,0.167648,0.0647190033135476,"basico",FALSE
"406",135,"B",0,0.189056,0.0511954865434859,"basico",FALSE
"407",135,"O",0,0.643529,0.0589629849562376,"basico",FALSE
"408",135,"Y",0,0.167415,0.0644286864006487,"basico",FALSE
"409",136,"B",0,0.1884,0.0504227221507418,"basico",FALSE
"410",136,"O",0,0.644815,0.0586308626540285,"basico",FALSE
"411",136,"Y",0,0.166785,0.0645381452860996,"basico",FALSE
"412",137,"B",0,0.187564,0.0497195031545911,"basico",FALSE
"413",137,"O",0,0.645883,0.0582248863017223,"basico",FALSE
"414",137,"Y",0,0.166553,0.0648005665503977,"basico",FALSE
"415",138,"B",0,0.186882,0.050022264497467,"basico",FALSE
